DATE,CPIUFDNS_PC1
1996-04-01,2.62803
1996-05-01,2.49494
1996-06-01,3.17782
1996-07-01,3.44362
1996-08-01,3.57143
1996-09-01,3.82807
1996-10-01,4.01606
1996-11-01,4.35074
1996-12-01,4.26951
1997-01-01,3.64238
1997-02-01,3.77984
1997-03-01,3.29815
1997-04-01,2.82337
1997-05-01,3.02632
1997-06-01,2.62123
1997-07-01,2.48042
1997-08-01,2.53741
1997-09-01,2.13454
1997-10-01,1.80180
1997-11-01,1.66774
1997-12-01,1.53551
1998-01-01,2.17252
1998-02-01,1.85304
1998-03-01,1.97957
1998-04-01,2.04342
1998-05-01,2.36271
1998-06-01,2.23499
1998-07-01,2.22930
1998-08-01,2.15736
1998-09-01,2.02660
1998-10-01,2.40202
1998-11-01,2.27129
1998-12-01,2.26843
1999-01-01,2.31395
1999-02-01,2.44668
1999-03-01,2.25423
1999-04-01,2.25282
1999-05-01,2.12102
1999-06-01,2.18613
1999-07-01,2.05607
1999-08-01,1.98758
1999-09-01,2.17256
1999-10-01,1.91358
1999-11-01,1.91240
1999-12-01,1.91004
2000-01-01,1.52812
2000-02-01,1.83711
2000-03-01,1.95958
2000-04-01,1.95838
2000-05-01,2.19914
2000-06-01,2.26161
2000-07-01,2.62515
2000-08-01,2.74056
2000-09-01,2.61239
2000-10-01,2.42277
2000-11-01,2.23971
2000-12-01,2.78114
2001-01-01,2.88983
2001-02-01,3.00661
2001-03-01,3.12312
2001-04-01,3.18127
2001-05-01,3.10819
2001-06-01,3.40705
2001-07-01,3.21237
2001-08-01,3.08239
2001-09-01,3.07874
2001-10-01,3.42992
2001-11-01,3.37478
2001-12-01,2.76471
2002-01-01,2.86717
2002-02-01,2.68535
2002-03-01,2.56261
2002-04-01,2.50145
2002-05-01,1.91304
2002-06-01,1.61850
2002-07-01,1.44092
2002-08-01,1.20759
2002-09-01,1.32108
2002-10-01,0.91481
2002-11-01,1.26002
2002-12-01,1.48827
2003-01-01,0.96701
2003-02-01,1.36441
