product_name,year,month,us_city_average_retail_price,category
American Cheese,2018,6,3.956,Dairy Products
American Cheese,2018,7,3.958,Dairy Products
American Cheese,2018,8,3.946,Dairy Products
American Cheese,2018,9,4.04,Dairy Products
American Cheese,2018,10,3.994,Dairy Products
American Cheese,2018,12,3.944,Dairy Products
American Cheese,2019,1,3.922,Dairy Products
American Cheese,2019,2,3.863,Dairy Products
American Cheese,2019,3,3.924,Dairy Products
American Cheese,2019,4,3.928,Dairy Products
American Cheese,2019,5,3.869,Dairy Products
American Cheese,2019,6,3.844,Dairy Products
American Cheese,2019,7,3.772,Dairy Products
American Cheese,2019,8,3.873,Dairy Products
American Cheese,2019,9,3.875,Dairy Products
American Cheese,2019,10,3.821,Dairy Products
American Cheese,2019,11,3.917,Dairy Products
American Cheese,2019,12,3.909,Dairy Products
American Cheese,2020,1,3.847,Dairy Products
American Cheese,2020,2,3.912,Dairy Products
American Cheese,2020,3,3.907,Dairy Products
American Cheese,2020,4,3.981,Dairy Products
American Cheese,2020,5,4.097,Dairy Products
American Cheese,2020,6,4.222,Dairy Products
American Cheese,2020,7,4.189,Dairy Products
American Cheese,2020,8,4.285,Dairy Products
American Cheese,2020,9,4.246,Dairy Products
American Cheese,2020,10,4.233,Dairy Products
American Cheese,2020,11,4.132,Dairy Products
American Cheese,2020,12,4.2,Dairy Products
American Cheese,2021,1,4.193,Dairy Products
American Cheese,2021,2,4.162,Dairy Products
American Cheese,2021,3,4.145,Dairy Products
American Cheese,2021,4,4.1,Dairy Products
American Cheese,2021,5,4.048,Dairy Products
American Cheese,2021,6,3.989,Dairy Products
American Cheese,2021,7,3.972,Dairy Products
American Cheese,2021,8,3.977,Dairy Products
American Cheese,2021,9,4.019,Dairy Products
American Cheese,2021,10,3.987,Dairy Products
American Cheese,2021,11,3.948,Dairy Products
American Cheese,2021,12,3.894,Dairy Products
American Cheese,2022,1,3.948,Dairy Products
American Cheese,2022,2,3.98,Dairy Products
American Cheese,2022,3,3.983,Dairy Products
American Cheese,2022,4,4.152,Dairy Products
American Cheese,2022,5,4.34,Dairy Products
American Cheese,2022,6,4.509,Dairy Products
American Cheese,2022,7,4.54,Dairy Products
American Cheese,2022,8,4.601,Dairy Products
American Cheese,2022,9,4.679,Dairy Products
American Cheese,2022,10,4.578,Dairy Products
American Cheese,2022,11,4.84,Dairy Products
American Cheese,2022,12,4.663,Dairy Products
Bananas,1980,1,0.319,Fruits
Bananas,1980,2,0.345,Fruits
Bananas,1980,3,0.355,Fruits
Bananas,1980,4,0.353,Fruits
Bananas,1980,5,0.357,Fruits
Bananas,1980,6,0.348,Fruits
Bananas,1980,7,0.332,Fruits
Bananas,1980,8,0.335,Fruits
Bananas,1980,9,0.335,Fruits
Bananas,1980,10,0.335,Fruits
Bananas,1980,11,0.339,Fruits
Bananas,1980,12,0.349,Fruits
Bananas,1981,1,0.343,Fruits
Bananas,1981,2,0.366,Fruits
Bananas,1981,3,0.377,Fruits
Bananas,1981,4,0.377,Fruits
Bananas,1981,5,0.379,Fruits
Bananas,1981,6,0.369,Fruits
Bananas,1981,7,0.341,Fruits
Bananas,1981,8,0.351,Fruits
Bananas,1981,9,0.358,Fruits
Bananas,1981,10,0.364,Fruits
Bananas,1981,11,0.355,Fruits
Bananas,1981,12,0.364,Fruits
Bananas,1982,1,0.364,Fruits
Bananas,1982,2,0.359,Fruits
Bananas,1982,3,0.373,Fruits
Bananas,1982,4,0.38,Fruits
Bananas,1982,5,0.372,Fruits
Bananas,1982,6,0.381,Fruits
Bananas,1982,7,0.344,Fruits
Bananas,1982,8,0.332,Fruits
Bananas,1982,9,0.343,Fruits
Bananas,1982,10,0.317,Fruits
Bananas,1982,11,0.344,Fruits
Bananas,1982,12,0.337,Fruits
Bananas,1983,1,0.332,Fruits
Bananas,1983,2,0.352,Fruits
Bananas,1983,3,0.357,Fruits
Bananas,1983,4,0.416,Fruits
Bananas,1983,5,0.438,Fruits
Bananas,1983,6,0.449,Fruits
Bananas,1983,7,0.462,Fruits
Bananas,1983,8,0.403,Fruits
Bananas,1983,9,0.394,Fruits
Bananas,1983,10,0.385,Fruits
Bananas,1983,11,0.327,Fruits
Bananas,1983,12,0.315,Fruits
Bananas,1984,1,0.344,Fruits
Bananas,1984,2,0.373,Fruits
Bananas,1984,3,0.373,Fruits
Bananas,1984,4,0.389,Fruits
Bananas,1984,5,0.354,Fruits
Bananas,1984,6,0.391,Fruits
Bananas,1984,7,0.386,Fruits
Bananas,1984,8,0.362,Fruits
Bananas,1984,9,0.35,Fruits
Bananas,1984,10,0.341,Fruits
Bananas,1984,11,0.333,Fruits
Bananas,1984,12,0.317,Fruits
Bananas,1985,1,0.35,Fruits
Bananas,1985,2,0.378,Fruits
Bananas,1985,3,0.394,Fruits
Bananas,1985,4,0.422,Fruits
Bananas,1985,5,0.392,Fruits
Bananas,1985,6,0.399,Fruits
Bananas,1985,7,0.348,Fruits
Bananas,1985,8,0.361,Fruits
Bananas,1985,9,0.376,Fruits
Bananas,1985,10,0.346,Fruits
Bananas,1985,11,0.316,Fruits
Bananas,1985,12,0.321,Fruits
Bananas,1986,1,0.337,Fruits
Bananas,1986,2,0.378,Fruits
Bananas,1986,3,0.402,Fruits
Bananas,1986,4,0.464,Fruits
Bananas,1986,5,0.461,Fruits
Bananas,1986,6,0.376,Fruits
Bananas,1986,7,0.371,Fruits
Bananas,1986,8,0.369,Fruits
Bananas,1986,9,0.384,Fruits
Bananas,1986,10,0.372,Fruits
Bananas,1986,11,0.371,Fruits
Bananas,1986,12,0.333,Fruits
Bananas,1987,3,0.376,Fruits
Bananas,1987,4,0.381,Fruits
Bananas,1987,5,0.357,Fruits
Bananas,1987,6,0.39,Fruits
Bananas,1987,7,0.35,Fruits
Bananas,1987,8,0.367,Fruits
Bananas,1987,9,0.363,Fruits
Bananas,1987,10,0.346,Fruits
Bananas,1987,11,0.343,Fruits
Bananas,1987,12,0.375,Fruits
Bananas,1988,1,0.374,Fruits
Bananas,1988,2,0.415,Fruits
Bananas,1988,3,0.413,Fruits
Bananas,1988,4,0.423,Fruits
Bananas,1988,5,0.422,Fruits
Bananas,1988,6,0.501,Fruits
Bananas,1988,7,0.433,Fruits
Bananas,1988,8,0.397,Fruits
Bananas,1988,9,0.389,Fruits
Bananas,1988,10,0.421,Fruits
Bananas,1988,11,0.423,Fruits
Bananas,1988,12,0.407,Fruits
Bananas,1989,1,0.394,Fruits
Bananas,1989,2,0.415,Fruits
Bananas,1989,3,0.45,Fruits
Bananas,1989,4,0.523,Fruits
Bananas,1989,5,0.522,Fruits
Bananas,1989,6,0.479,Fruits
Bananas,1989,7,0.456,Fruits
Bananas,1989,8,0.434,Fruits
Bananas,1989,9,0.428,Fruits
Bananas,1989,10,0.432,Fruits
Bananas,1989,11,0.435,Fruits
Bananas,1989,12,0.416,Fruits
Bananas,1990,1,0.429,Fruits
Bananas,1990,2,0.492,Fruits
Bananas,1990,3,0.5,Fruits
Bananas,1990,4,0.481,Fruits
Bananas,1990,5,0.462,Fruits
Bananas,1990,6,0.447,Fruits
Bananas,1990,7,0.529,Fruits
Bananas,1990,8,0.463,Fruits
Bananas,1990,9,0.465,Fruits
Bananas,1990,10,0.432,Fruits
Bananas,1990,11,0.429,Fruits
Bananas,1990,12,0.43,Fruits
Bananas,1991,1,0.438,Fruits
Bananas,1991,2,0.485,Fruits
Bananas,1991,3,0.577,Fruits
Bananas,1991,4,0.547,Fruits
Bananas,1991,5,0.584,Fruits
